dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
1373,07670,07670,Asio otus,Long-eared Owl,species,LC,NA,150,Regular,2017,NA,595,1
1377,07680,07680,Asio flammeus,Short-eared Owl,species,LC,NA,28,Regular,2017,NA,8,1
1379,07700,07700,Aegolius funereus,Boreal Owl,species,LC,NA,7,Regular,2017,NA,14,1
1390,07780,07780,Caprimulgus europaeus,European Nightjar,species,LC,NA,82,Regular,2017,NA,243,1
1415,07950,07950,Apus apus,Common Swift,species,LC,NA,15084,Regular,2017,NA,590,1
1467,08310,08310,Alcedo atthis,Common Kingfisher,species,LC,NA,557,Regular,2017,NA,318,1
1485,08400,08400,Merops apiaster,European Bee-eater,species,LC,NA,1,Occasional,2017,NA,3,1
1495,08460,08460,Upupa epops,Eurasian Hoopoe,species,LC,NA,1,Regionally extinct,1977,NA,2,1
1502,08480,08480,Jynx torquilla,Eurasian Wryneck,species,LC,NA,119,Regular,2017,NA,158,1
1515,08560,08560,Picus viridis,European Green Woodpecker,species,LC,NA,1658,Regular,2017,NA,508,1
1524,08630,08630,Dryocopus martius,Black Woodpecker,species,LC,NA,1774,Regular,2017,NA,151,1
1537,08760,08760,Dendrocopos major,Great Spotted Woodpecker,species,LC,NA,34168,Regular,2017,NA,1761,1
